episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2,distancia_percorrida
1283,314.80999999999966,8,72,1.0,39,13,6,61
1284,315.4899999999998,8,58,1.0,12,7,10,61
1285,315.86500000000007,8,83,1.0,21,12,2,77
1286,307.39500000000044,8,250,1.0,32,33,14,156
1287,313.215,8,100,1.0,43,17,8,94
1288,316.5999999999999,8,33,1.0,3,5,4,37
1289,314.8749999999998,8,70,1.0,10,15,3,71
1290,316.04499999999996,8,59,1.0,4,12,2,59
1291,299.3100000000021,8,449,1.0,29,19,16,127
1292,312.605,8,75,1.0,35,21,13,79
1293,309.5400000000004,8,177,1.0,39,20,20,116
1294,301.58000000000214,8,423,1.0,107,17,19,134
1295,313.52499999999975,8,127,1.0,20,23,14,148
1296,314.9899999999997,8,94,1.0,12,16,12,122
1297,313.57000000000016,8,121,1.0,27,20,10,116
1298,315.8199999999997,8,56,1.0,4,10,4,54
1299,312.94499999999994,8,101,1.0,63,21,7,79
1300,312.159999999999,8,169,1.0,26,27,10,157
1301,314.12999999999977,8,84,1.0,17,21,9,92
1302,315.8499999999999,8,69,1.0,13,7,5,66
1303,316.855,8,37,1.0,5,4,4,46
1304,317.2249999999998,8,42,1.0,8,4,0,39
1305,315.45499999999953,8,68,1.0,14,14,5,76
1306,311.4599999999998,8,106,1.0,41,12,23,89
1307,316.5649999999998,8,45,1.0,3,7,5,55
1308,316.18499999999995,8,46,1.0,3,11,6,68
